Field,Soil Moisture (%),Temperature (°C),Humidity (%),Light Intensity (lux),pH Level,Nutrient Level (N),Nutrient Level (P),Nutrient Level (K),Growth Rate,Leaf Color,Disease Resistance,Yield Prediction,Soil Moisture,Nutrient Levels,Temperature,Pesticide Levels,Application Accuracy,Toxicity Levels,Residuals,Field Variability,Resource Efficiency,Cost Reduction,Yield Improvement,Weather Prediction,Market Trends,Yield Forecasting,Risk Management,Reservoir Levels,Irrigation Scheduling,Flood Prediction,Water Quality
Field_A,13.11,25.76,47.0,39843,95%,13.94,17.73,29.15,99%,98%,74%,75%,68%,67%,94%,70%,67%,70%,94%,97%,92%,69%,76%,92%,93%,99%,82%,86%,75%,61%,84%
Field_C,10.39,33.22,56.88,69983,86%,15.35,9.68,34.57,60%,91%,62%,65%,64%,73%,83%,86%,62%,82%,65%,61%,64%,76%,69%,67%,82%,82%,63%,67%,70%,100%,97%
Field_D,18.83,21.43,61.92,94871,75%,40.89,5.6,25.33,62%,68%,82%,82%,98%,74%,90%,80%,64%,88%,76%,82%,66%,84%,88%,68%,91%,68%,80%,93%,91%,66%,67%
Field_B,11.27,26.43,56.04,73193,65%,24.2,18.83,26.44,84%,61%,73%,99%,98%,64%,81%,68%,71%,66%,69%,62%,96%,75%,94%,87%,64%,64%,88%,97%,76%,63%,82%
Field_A,21.42,21.85,52.73,60554,86%,21.48,18.15,26.02,61%,84%,72%,72%,60%,99%,85%,65%,88%,68%,83%,93%,96%,88%,95%,81%,67%,72%,63%,70%,90%,79%,96%
Field_B,11.87,34.46,30.79,58110,91%,30.57,19.97,23.23,83%,73%,87%,78%,80%,88%,84%,68%,86%,71%,89%,70%,67%,84%,89%,86%,98%,82%,98%,85%,63%,93%,88%
Field_D,34.66,23.91,60.36,64978,62%,22.73,18.65,24.07,82%,93%,76%,70%,74%,79%,99%,78%,70%,90%,89%,81%,68%,77%,99%,89%,70%,96%,93%,97%,99%,86%,73%
Field_E,12.67,33.72,56.54,71431,80%,48.24,5.04,18.41,61%,96%,71%,77%,60%,81%,69%,97%,61%,87%,88%,75%,97%,93%,72%,62%,96%,64%,62%,61%,95%,97%,89%
Field_A,28.21,24.23,58.68,41460,79%,31.54,12.27,15.57,65%,90%,79%,72%,99%,89%,70%,91%,90%,71%,98%,97%,97%,99%,97%,63%,71%,78%,93%,75%,86%,61%,86%
Field_E,18.29,26.06,58.09,42368,68%,35.29,23.27,31.4,76%,81%,92%,90%,73%,96%,91%,98%,93%,83%,83%,90%,89%,94%,99%,83%,99%,66%,60%,69%,75%,98%,96%
Field_C,11.27,28.39,61.95,76275,78%,36.85,19.83,20.83,61%,77%,90%,83%,78%,65%,64%,60%,89%,70%,73%,94%,66%,95%,67%,95%,71%,88%,89%,77%,80%,90%,80%
Field_C,14.23,23.5,41.62,62442,65%,42.55,11.34,32.44,63%,85%,68%,89%,63%,74%,78%,86%,93%,83%,75%,71%,87%,91%,63%,66%,62%,68%,95%,90%,98%,96%,95%
Field_B,11.91,28.06,66.86,96074,93%,38.36,13.1,38.8,72%,63%,85%,63%,61%,73%,100%,91%,81%,63%,66%,80%,86%,79%,84%,88%,71%,66%,76%,82%,87%,91%,77%
Field_C,33.76,26.59,36.28,21818,80%,30.4,18.9,26.64,60%,75%,73%,99%,62%,92%,94%,97%,97%,94%,94%,72%,94%,77%,100%,84%,69%,98%,72%,62%,96%,69%,81%
Field_D,33.64,29.79,51.08,55552,85%,34.5,5.55,16.43,71%,69%,80%,91%,61%,68%,94%,70%,90%,88%,93%,76%,80%,67%,88%,68%,84%,96%,83%,65%,83%,69%,90%
Field_D,35.9,25.03,38.37,71586,96%,47.0,9.37,18.84,98%,64%,81%,97%,85%,99%,82%,65%,85%,75%,65%,88%,75%,64%,73%,97%,73%,62%,61%,62%,66%,73%,79%
Field_E,15.61,29.43,53.93,12600,85%,27.47,5.46,23.87,72%,73%,75%,74%,70%,60%,89%,91%,78%,97%,62%,99%,92%,70%,100%,87%,67%,89%,75%,64%,84%,96%,81%
Field_A,37.64,30.36,64.21,69138,71%,26.12,12.95,10.35,89%,94%,77%,96%,98%,99%,66%,95%,76%,93%,82%,80%,64%,62%,63%,60%,85%,95%,89%,69%,69%,73%,84%
Field_A,22.95,28.6,38.66,25416,74%,36.66,23.14,24.46,67%,62%,96%,78%,83%,73%,73%,76%,93%,72%,78%,62%,80%,79%,90%,77%,70%,77%,88%,79%,81%,68%,86%
Field_D,13.97,24.2,33.06,75994,86%,46.23,10.0,22.98,84%,76%,81%,79%,67%,97%,87%,75%,83%,74%,60%,86%,98%,91%,75%,90%,90%,96%,85%,78%,76%,74%,85%
Field_D,14.81,34.58,61.02,77726,85%,14.1,21.55,36.43,95%,97%,95%,97%,100%,89%,65%,76%,94%,100%,71%,92%,77%,65%,95%,70%,72%,73%,70%,99%,96%,63%,76%
Field_B,29.4,27.3,69.87,95485,70%,24.65,13.6,33.85,94%,87%,70%,67%,66%,81%,86%,73%,87%,62%,75%,69%,79%,86%,93%,90%,76%,83%,94%,93%,74%,96%,61%
Field_D,26.71,25.52,38.82,49568,97%,13.9,11.49,19.99,98%,63%,63%,89%,92%,69%,80%,74%,72%,62%,86%,79%,90%,61%,76%,100%,64%,69%,86%,86%,72%,64%,96%
Field_C,14.55,34.08,59.09,17421,91%,24.67,16.83,33.66,90%,73%,66%,66%,96%,73%,93%,93%,73%,92%,95%,75%,95%,91%,83%,78%,92%,67%,77%,99%,77%,87%,72%
Field_A,16.79,30.44,44.32,98203,95%,14.53,8.58,37.62,83%,93%,67%,65%,70%,78%,63%,66%,81%,84%,90%,89%,87%,86%,78%,80%,62%,78%,84%,90%,89%,97%,83%
Field_A,23.66,29.72,59.37,93409,75%,26.95,11.5,16.08,93%,74%,71%,97%,98%,100%,65%,71%,76%,93%,92%,77%,100%,89%,79%,93%,88%,66%,80%,70%,64%,90%,62%
Field_E,26.26,33.72,67.63,51257,66%,46.82,20.92,28.4,70%,72%,98%,78%,97%,85%,87%,76%,64%,86%,61%,81%,63%,85%,60%,91%,80%,85%,65%,90%,95%,65%,70%
Field_E,12.84,27.44,41.52,43971,76%,34.51,9.47,21.45,80%,93%,66%,99%,65%,85%,62%,84%,79%,70%,79%,94%,87%,68%,82%,67%,81%,70%,96%,93%,87%,62%,74%
Field_E,35.86,27.71,62.52,76070,71%,47.59,12.76,25.27,71%,88%,87%,62%,92%,94%,65%,81%,62%,78%,89%,92%,60%,79%,79%,96%,93%,86%,75%,63%,75%,81%,77%
Field_A,34.73,29.91,67.18,63755,92%,23.71,18.68,17.9,90%,94%,92%,64%,99%,87%,94%,70%,100%,75%,60%,65%,73%,86%,94%,66%,85%,74%,60%,73%,80%,70%,71%
Field_E,16.36,21.8,40.1,56301,68%,42.59,11.26,26.1,87%,66%,78%,79%,94%,84%,67%,76%,98%,63%,60%,72%,67%,74%,63%,64%,89%,88%,91%,73%,85%,83%,90%
Field_C,34.86,22.54,37.78,64759,79%,42.39,20.89,35.16,66%,95%,88%,93%,79%,76%,82%,93%,81%,78%,81%,71%,98%,96%,65%,83%,93%,85%,96%,71%,96%,90%,60%
Field_C,18.47,25.55,64.57,77146,87%,20.42,8.19,26.02,79%,98%,80%,99%,60%,64%,89%,84%,92%,89%,64%,88%,71%,71%,77%,85%,84%,95%,69%,70%,99%,74%,64%
Field_C,31.24,24.54,52.82,18824,73%,13.91,5.75,14.71,85%,92%,86%,92%,78%,81%,60%,92%,77%,95%,68%,77%,89%,71%,79%,96%,87%,84%,82%,62%,77%,82%,77%
Field_D,31.27,32.67,67.14,63120,98%,46.53,6.8,23.84,74%,78%,83%,87%,74%,89%,83%,88%,77%,68%,92%,69%,88%,94%,92%,62%,83%,93%,72%,95%,82%,78%,72%
Field_B,36.78,28.46,31.68,21156,93%,38.03,13.25,38.31,79%,81%,93%,85%,82%,89%,96%,75%,98%,96%,81%,71%,72%,94%,69%,75%,68%,79%,72%,90%,92%,65%,99%
Field_E,28.25,31.03,69.12,58285,94%,33.07,19.97,29.26,71%,65%,74%,100%,99%,100%,82%,77%,78%,95%,83%,82%,96%,95%,100%,90%,84%,98%,81%,63%,79%,99%,91%
Field_D,11.89,25.06,65.53,77628,66%,22.55,24.92,29.99,84%,97%,70%,99%,84%,87%,100%,76%,100%,86%,85%,74%,93%,86%,68%,61%,91%,64%,84%,71%,86%,75%,83%
Field_B,15.38,27.68,61.2,90488,94%,15.97,16.06,32.78,100%,71%,99%,90%,61%,79%,78%,83%,88%,78%,63%,72%,90%,69%,77%,78%,97%,91%,76%,77%,93%,78%,84%
Field_C,12.39,24.77,59.6,36353,80%,44.27,8.9,27.38,61%,77%,64%,92%,64%,92%,81%,73%,83%,88%,65%,99%,81%,96%,83%,91%,89%,65%,80%,61%,100%,99%,70%
Field_A,35.94,32.24,57.68,14323,72%,35.98,7.16,39.37,72%,65%,75%,75%,79%,95%,97%,69%,92%,90%,64%,100%,94%,96%,75%,76%,100%,67%,64%,97%,71%,76%,65%
Field_E,29.23,27.9,48.66,41119,85%,15.84,6.39,25.83,81%,77%,86%,85%,64%,68%,89%,65%,61%,72%,68%,97%,60%,81%,91%,67%,84%,92%,82%,75%,89%,96%,80%
Field_A,26.97,28.91,32.0,54463,98%,25.86,6.62,19.11,99%,66%,65%,88%,89%,82%,62%,78%,62%,65%,96%,67%,95%,74%,65%,76%,95%,83%,77%,97%,80%,99%,79%
Field_E,29.46,31.52,59.78,31852,65%,27.41,21.16,20.86,73%,68%,97%,66%,86%,93%,64%,68%,85%,79%,93%,71%,79%,61%,70%,100%,64%,70%,83%,63%,77%,65%,75%
Field_C,30.13,29.92,54.85,70871,77%,23.28,14.61,19.97,78%,98%,68%,81%,78%,69%,64%,91%,71%,63%,93%,93%,94%,85%,95%,94%,63%,98%,60%,61%,99%,93%,68%
Field_B,36.26,34.77,62.29,29012,67%,17.71,9.77,14.77,96%,91%,100%,83%,76%,86%,87%,78%,98%,80%,94%,81%,94%,70%,99%,67%,66%,98%,87%,98%,76%,61%,70%
Field_E,36.02,33.49,66.59,97050,85%,36.0,18.53,13.81,68%,98%,61%,92%,80%,100%,75%,93%,97%,62%,77%,69%,95%,73%,85%,88%,97%,97%,74%,61%,65%,72%,78%
Field_A,26.5,23.06,60.19,15946,69%,20.74,21.63,13.1,70%,97%,99%,99%,94%,93%,63%,71%,98%,88%,80%,77%,97%,85%,95%,72%,95%,68%,81%,98%,96%,94%,70%
Field_D,30.33,21.41,55.33,60916,66%,25.88,22.06,26.14,64%,62%,93%,79%,93%,66%,65%,72%,69%,92%,72%,64%,94%,83%,68%,81%,89%,84%,81%,90%,94%,71%,85%
Field_D,12.83,30.29,68.68,88180,68%,13.87,15.82,12.54,86%,92%,85%,95%,82%,75%,63%,61%,73%,75%,97%,91%,71%,67%,72%,60%,79%,81%,72%,78%,63%,100%,77%
Field_B,21.26,29.96,30.75,77405,86%,45.55,19.23,39.01,60%,68%,66%,65%,95%,93%,89%,81%,92%,80%,94%,99%,92%,70%,89%,79%,91%,78%,90%,60%,81%,100%,93%
Field_D,23.54,30.54,48.49,27297,74%,41.52,10.37,14.21,72%,71%,84%,64%,91%,64%,97%,93%,60%,95%,90%,68%,77%,92%,80%,87%,65%,82%,71%,78%,85%,90%,70%
Field_C,19.92,32.23,38.77,66427,99%,33.43,7.52,15.57,83%,100%,76%,95%,79%,94%,65%,98%,67%,86%,75%,67%,62%,95%,99%,98%,70%,66%,96%,97%,65%,97%,66%
Field_D,14.36,33.28,30.83,97802,80%,22.84,8.88,21.51,77%,69%,75%,86%,76%,80%,100%,77%,72%,89%,78%,91%,87%,80%,78%,87%,74%,86%,62%,87%,72%,86%,64%
Field_A,29.09,30.19,60.53,59668,94%,45.11,16.29,38.89,98%,81%,97%,80%,83%,66%,81%,98%,68%,71%,86%,81%,76%,76%,93%,69%,74%,61%,88%,75%,80%,78%,100%
Field_B,15.34,30.18,48.37,13539,91%,22.2,18.8,33.6,97%,80%,62%,97%,88%,61%,99%,70%,74%,66%,68%,70%,65%,70%,75%,80%,62%,65%,73%,66%,92%,73%,70%
Field_E,27.66,32.6,55.36,55133,89%,15.0,5.46,34.1,99%,62%,76%,81%,64%,95%,84%,95%,95%,72%,92%,90%,67%,93%,66%,67%,91%,91%,71%,78%,98%,91%,61%
Field_D,22.44,31.13,61.75,57351,94%,18.6,5.79,11.32,71%,66%,98%,60%,73%,64%,63%,69%,77%,100%,80%,96%,76%,70%,82%,71%,99%,70%,92%,99%,77%,76%,64%
Field_D,23.1,34.39,35.62,51501,70%,23.1,6.84,24.8,66%,66%,80%,91%,74%,62%,99%,83%,78%,74%,99%,68%,71%,63%,84%,83%,73%,100%,66%,86%,71%,62%,94%
Field_B,19.13,33.96,53.15,89084,81%,43.96,19.94,16.97,98%,84%,69%,96%,80%,66%,92%,92%,73%,80%,81%,97%,79%,79%,95%,98%,99%,86%,76%,62%,78%,81%,77%
Field_E,28.28,26.89,54.84,28555,69%,42.64,24.03,32.38,96%,95%,71%,80%,84%,69%,68%,97%,84%,70%,63%,82%,78%,76%,71%,68%,87%,65%,100%,61%,60%,68%,95%
Field_C,31.31,28.4,59.43,78955,99%,40.63,15.26,11.48,61%,70%,71%,86%,79%,74%,66%,73%,62%,80%,60%,98%,90%,100%,83%,68%,72%,98%,75%,71%,93%,71%,82%
Field_E,37.64,21.53,48.73,50851,91%,11.81,9.43,15.51,74%,66%,71%,79%,80%,67%,76%,80%,62%,60%,74%,97%,80%,67%,70%,79%,60%,91%,71%,66%,64%,60%,85%
Field_D,35.9,25.06,35.73,95145,88%,49.11,18.95,26.45,67%,76%,75%,63%,98%,94%,87%,74%,76%,91%,88%,65%,67%,99%,81%,88%,89%,64%,79%,86%,60%,89%,66%
Field_E,31.9,28.19,58.32,41698,82%,34.85,20.51,16.98,92%,74%,85%,99%,86%,66%,75%,67%,60%,60%,83%,74%,68%,85%,67%,99%,72%,69%,71%,84%,69%,61%,83%
Field_B,25.59,22.59,54.64,53001,71%,20.56,23.6,25.5,64%,91%,76%,98%,84%,70%,86%,61%,100%,65%,92%,66%,64%,91%,72%,61%,76%,83%,87%,67%,97%,96%,63%
Field_B,36.45,32.92,58.06,41435,79%,42.24,16.97,36.68,92%,75%,83%,75%,75%,81%,89%,81%,79%,79%,93%,62%,87%,82%,63%,94%,69%,70%,80%,81%,91%,89%,64%
Field_C,28.54,27.18,45.87,49695,61%,40.21,16.13,34.29,90%,68%,93%,84%,96%,84%,81%,92%,68%,76%,90%,63%,81%,71%,66%,64%,65%,75%,66%,83%,81%,85%,74%
Field_D,23.21,22.03,40.35,25155,85%,25.94,10.54,36.95,61%,86%,73%,67%,77%,63%,87%,70%,67%,85%,90%,94%,60%,81%,81%,64%,64%,77%,71%,70%,95%,60%,81%
Field_B,29.15,27.13,50.62,99691,73%,34.57,19.71,13.07,99%,63%,100%,88%,61%,68%,82%,79%,85%,79%,70%,85%,96%,82%,76%,89%,75%,100%,98%,88%,88%,78%,63%
Field_A,34.7,25.78,60.44,98154,94%,29.04,7.23,32.56,99%,71%,86%,82%,64%,60%,78%,86%,64%,94%,98%,83%,88%,61%,64%,75%,80%,74%,80%,84%,63%,63%,61%
Field_C,14.05,24.27,42.55,75800,62%,43.29,10.92,14.95,73%,64%,97%,66%,84%,60%,74%,87%,71%,81%,98%,87%,63%,86%,82%,76%,65%,97%,65%,62%,79%,97%,68%
Field_E,26.66,23.83,39.85,99546,78%,34.15,19.19,35.46,94%,65%,93%,82%,92%,85%,96%,74%,91%,97%,98%,61%,68%,78%,87%,91%,90%,93%,96%,79%,83%,71%,99%
Field_D,18.19,22.04,67.96,70230,97%,48.36,24.53,21.46,100%,68%,63%,96%,83%,92%,69%,92%,91%,74%,89%,70%,92%,72%,77%,91%,90%,62%,95%,71%,89%,90%,62%
Field_D,25.15,33.95,41.0,59672,97%,19.86,23.89,24.03,100%,89%,91%,83%,86%,70%,80%,83%,100%,76%,68%,86%,99%,72%,84%,95%,100%,62%,96%,99%,68%,73%,97%
Field_D,29.24,26.84,37.86,58386,96%,47.48,6.71,15.91,68%,87%,74%,100%,76%,72%,88%,68%,99%,88%,82%,61%,65%,88%,67%,95%,84%,83%,88%,80%,82%,75%,98%
Field_C,37.42,26.29,38.64,35811,63%,21.55,8.9,20.73,80%,67%,68%,79%,66%,87%,62%,69%,68%,64%,61%,85%,80%,73%,94%,68%,70%,98%,62%,88%,67%,83%,69%
Field_B,29.33,22.47,59.82,98444,67%,13.07,24.98,37.52,95%,100%,81%,83%,65%,67%,69%,66%,65%,66%,67%,78%,97%,97%,73%,64%,79%,72%,77%,70%,66%,70%,98%
Field_B,29.52,32.92,67.85,20259,93%,37.0,23.83,33.14,76%,79%,64%,86%,93%,66%,62%,85%,76%,100%,68%,68%,90%,75%,83%,94%,96%,61%,90%,93%,80%,74%,99%
Field_A,25.43,21.58,64.49,94635,68%,12.78,18.7,31.42,73%,94%,68%,87%,88%,74%,95%,85%,97%,97%,97%,83%,82%,63%,89%,99%,99%,75%,90%,85%,74%,68%,89%
Field_B,27.61,33.87,54.78,64056,61%,12.51,21.89,39.6,66%,80%,73%,74%,96%,74%,90%,76%,88%,94%,90%,89%,88%,72%,80%,73%,80%,88%,93%,97%,65%,69%,94%
Field_C,14.49,20.15,46.27,39349,76%,38.84,23.18,32.24,94%,91%,90%,68%,97%,76%,86%,91%,78%,61%,62%,64%,82%,79%,80%,75%,93%,61%,66%,97%,60%,100%,68%
Field_E,10.46,32.97,40.38,12817,69%,29.1,17.94,18.89,66%,88%,86%,64%,68%,73%,86%,81%,88%,63%,98%,74%,76%,65%,89%,92%,93%,88%,88%,67%,79%,95%,84%
Field_A,12.77,31.99,42.84,90625,67%,37.23,8.35,27.04,79%,92%,100%,76%,76%,74%,99%,93%,80%,91%,61%,65%,65%,94%,83%,68%,92%,62%,78%,75%,63%,97%,98%
Field_A,25.55,27.51,56.42,49785,80%,34.94,13.35,12.73,95%,80%,72%,65%,67%,80%,69%,63%,98%,98%,100%,88%,80%,79%,87%,60%,99%,90%,60%,75%,87%,70%,78%
Field_E,15.76,23.14,61.84,63143,65%,29.2,5.92,33.81,60%,73%,81%,100%,92%,72%,85%,79%,69%,85%,94%,83%,72%,63%,91%,77%,71%,81%,83%,83%,64%,74%,84%
Field_B,26.17,27.56,48.83,96698,68%,32.85,23.76,16.93,73%,71%,62%,80%,84%,76%,76%,69%,87%,82%,89%,86%,89%,96%,81%,80%,64%,80%,98%,96%,62%,60%,71%
Field_D,36.62,31.78,65.57,95317,90%,35.49,19.49,27.65,90%,71%,71%,64%,62%,73%,92%,62%,69%,96%,94%,84%,68%,69%,94%,77%,60%,98%,63%,73%,63%,92%,100%
Field_C,23.26,34.46,42.79,73821,60%,14.48,10.53,20.28,85%,72%,85%,61%,84%,99%,62%,74%,97%,60%,89%,70%,67%,97%,97%,97%,63%,84%,63%,82%,96%,91%,75%
Field_B,14.6,27.53,41.68,41023,65%,39.43,16.01,12.43,88%,83%,90%,70%,78%,88%,73%,77%,61%,73%,67%,67%,80%,70%,60%,95%,74%,77%,84%,86%,68%,87%,82%
Field_A,19.1,22.91,62.92,72339,96%,23.29,24.81,23.51,75%,85%,71%,60%,60%,82%,87%,63%,69%,95%,79%,63%,78%,75%,83%,62%,98%,65%,64%,85%,83%,78%,99%
Field_D,36.19,25.03,65.63,68178,97%,47.58,12.01,11.41,88%,65%,93%,69%,97%,79%,72%,83%,86%,80%,78%,76%,94%,89%,68%,62%,60%,79%,87%,74%,66%,69%,92%
Field_C,26.63,27.29,66.94,69353,99%,36.1,9.43,11.05,78%,78%,89%,69%,63%,83%,89%,65%,71%,65%,78%,66%,82%,70%,88%,77%,100%,94%,71%,97%,64%,73%,94%
Field_B,14.09,24.57,44.54,23708,68%,25.63,14.22,10.03,76%,88%,99%,81%,92%,94%,82%,80%,85%,85%,60%,74%,62%,72%,65%,66%,70%,82%,73%,65%,69%,87%,68%
Field_D,35.64,29.67,36.32,28832,96%,29.05,17.24,22.76,81%,64%,79%,71%,65%,71%,73%,86%,81%,68%,69%,66%,95%,100%,67%,84%,96%,98%,76%,66%,63%,66%,100%
Field_C,23.35,24.51,46.73,76497,98%,18.47,9.25,36.94,66%,88%,74%,89%,69%,85%,87%,72%,63%,71%,63%,65%,67%,82%,90%,74%,75%,76%,60%,62%,85%,82%,74%
Field_E,11.48,32.61,38.36,80007,83%,35.98,7.62,28.64,96%,74%,76%,96%,61%,84%,71%,61%,64%,95%,72%,68%,87%,98%,78%,78%,64%,74%,97%,66%,73%,65%,98%
Field_D,31.02,20.96,65.05,37313,83%,45.75,20.23,29.94,81%,78%,63%,99%,87%,83%,90%,79%,79%,78%,97%,76%,92%,79%,81%,71%,66%,87%,91%,76%,92%,74%,66%
Field_B,39.71,22.53,53.13,75693,60%,27.59,6.23,10.65,81%,93%,85%,90%,91%,74%,61%,82%,60%,65%,99%,96%,86%,75%,84%,86%,90%,63%,91%,62%,60%,62%,70%
Field_E,27.29,25.56,54.18,17317,67%,45.91,17.22,34.44,93%,63%,86%,78%,67%,95%,72%,92%,99%,77%,79%,73%,99%,87%,83%,73%,92%,62%,98%,76%,67%,76%,71%
Field_B,23.14,33.54,34.58,21115,92%,35.46,12.68,26.39,67%,76%,83%,61%,87%,76%,97%,82%,92%,64%,78%,77%,64%,86%,83%,96%,78%,75%,70%,79%,75%,89%,83%
Field_B,32.41,20.36,32.77,42164,68%,16.22,11.71,31.72,90%,81%,92%,99%,99%,87%,85%,85%,76%,69%,83%,78%,96%,66%,95%,71%,84%,86%,94%,60%,62%,94%,63%
Field_C,19.25,29.86,36.84,12125,90%,35.81,8.47,39.14,60%,65%,60%,99%,79%,71%,89%,94%,70%,88%,81%,75%,84%,94%,74%,90%,81%,80%,75%,92%,76%,70%,82%
Field_E,29.13,22.49,69.78,19126,89%,37.45,18.13,12.68,99%,80%,76%,100%,93%,77%,89%,91%,65%,90%,70%,81%,63%,94%,74%,60%,84%,60%,88%,96%,74%,92%,83%
Field_A,28.42,26.58,56.92,17446,89%,22.07,8.7,33.77,70%,76%,84%,91%,92%,80%,96%,88%,69%,99%,61%,67%,60%,73%,86%,99%,89%,71%,99%,73%,69%,94%,64%
Field_E,22.36,33.98,62.91,85343,96%,31.31,11.87,25.56,61%,85%,66%,70%,84%,84%,78%,72%,78%,69%,83%,97%,61%,64%,61%,73%,60%,98%,82%,87%,74%,91%,84%
Field_E,33.03,22.63,40.11,87865,67%,49.29,10.07,23.14,79%,73%,67%,99%,60%,82%,96%,61%,89%,95%,91%,70%,71%,78%,60%,62%,89%,66%,77%,92%,76%,84%,84%
Field_D,30.42,30.31,37.78,87557,60%,11.27,10.5,27.75,68%,79%,91%,90%,67%,65%,92%,85%,97%,83%,73%,91%,78%,74%,73%,63%,78%,91%,77%,90%,71%,75%,71%
Field_A,11.49,24.9,63.04,17000,98%,17.48,23.87,35.67,63%,63%,74%,82%,83%,91%,61%,87%,64%,61%,73%,82%,87%,70%,61%,83%,69%,91%,99%,77%,88%,70%,60%
Field_B,11.51,23.63,63.96,80787,89%,41.82,24.84,33.61,61%,60%,75%,60%,65%,97%,77%,63%,73%,73%,94%,78%,78%,91%,90%,83%,72%,81%,77%,71%,65%,65%,92%
Field_D,23.78,24.0,39.55,24598,83%,33.36,7.71,12.03,93%,81%,70%,83%,68%,97%,71%,77%,97%,84%,66%,62%,62%,69%,64%,99%,64%,70%,85%,64%,61%,69%,95%
Field_B,14.41,24.56,63.96,15178,71%,44.35,24.98,23.17,72%,100%,90%,75%,60%,63%,100%,73%,83%,79%,76%,86%,62%,73%,76%,77%,94%,80%,93%,81%,71%,64%,88%
Field_E,22.72,34.47,69.66,22372,69%,15.75,12.59,13.11,61%,80%,80%,69%,90%,67%,73%,64%,78%,65%,93%,84%,60%,66%,80%,76%,76%,100%,69%,67%,65%,71%,76%
Field_E,32.08,24.81,37.19,63020,72%,21.91,15.6,15.04,74%,70%,71%,97%,88%,80%,75%,77%,79%,90%,65%,74%,100%,95%,69%,65%,94%,89%,96%,100%,60%,61%,86%
Field_E,34.34,30.42,47.88,93552,64%,48.29,5.63,16.32,77%,99%,92%,87%,64%,86%,63%,66%,98%,60%,89%,99%,99%,68%,69%,86%,95%,94%,81%,67%,93%,68%,98%
Field_D,13.86,27.96,33.94,43974,74%,22.14,21.65,29.76,90%,85%,92%,98%,71%,65%,81%,87%,61%,69%,100%,77%,92%,86%,81%,97%,85%,62%,65%,94%,85%,99%,90%
Field_D,24.81,24.24,54.06,14927,94%,41.98,24.25,20.54,93%,73%,88%,69%,71%,63%,67%,77%,99%,73%,86%,93%,97%,86%,94%,64%,97%,100%,76%,70%,81%,90%,96%
Field_D,21.51,21.16,51.93,51158,61%,39.05,22.17,37.51,73%,92%,84%,72%,92%,94%,98%,100%,97%,92%,87%,81%,76%,65%,70%,66%,92%,74%,69%,85%,76%,86%,83%
Field_E,24.62,28.58,46.3,19556,94%,11.92,9.85,24.6,83%,69%,71%,83%,84%,92%,74%,64%,92%,74%,62%,79%,86%,96%,90%,64%,74%,66%,79%,76%,78%,100%,81%
Field_D,28.59,21.28,34.58,43090,72%,31.63,23.47,26.86,75%,83%,89%,97%,74%,67%,72%,67%,70%,64%,80%,65%,74%,66%,60%,87%,74%,65%,82%,93%,70%,71%,88%
Field_C,25.93,20.16,59.61,50051,87%,25.47,6.55,18.39,91%,84%,62%,70%,92%,89%,75%,100%,85%,87%,82%,74%,86%,66%,67%,76%,95%,99%,69%,78%,81%,97%,66%
Field_A,23.11,24.31,50.13,59970,68%,23.15,24.52,33.31,65%,65%,60%,81%,99%,93%,69%,68%,86%,90%,91%,65%,78%,69%,85%,92%,63%,79%,68%,98%,82%,61%,88%
Field_D,26.11,24.53,40.82,60440,93%,30.3,16.39,31.17,96%,90%,91%,93%,93%,88%,75%,92%,97%,94%,69%,79%,80%,81%,98%,93%,98%,66%,62%,77%,80%,77%,88%
Field_D,21.35,20.51,61.52,64926,91%,27.08,18.69,31.8,79%,88%,73%,79%,95%,69%,85%,62%,60%,64%,95%,83%,87%,61%,76%,96%,84%,99%,100%,75%,82%,97%,65%
Field_A,35.39,25.77,37.48,65305,68%,24.73,14.86,17.37,89%,66%,73%,81%,96%,98%,97%,91%,71%,91%,71%,87%,87%,84%,93%,62%,69%,75%,80%,85%,95%,90%,86%
Field_C,10.19,23.46,60.39,91889,72%,36.43,8.42,25.2,64%,88%,76%,94%,65%,76%,77%,61%,95%,74%,82%,86%,89%,67%,88%,93%,61%,68%,66%,91%,98%,61%,95%
Field_E,22.42,31.38,54.75,37202,94%,43.7,5.59,22.42,81%,83%,97%,69%,62%,69%,69%,62%,62%,84%,86%,90%,97%,98%,96%,69%,71%,82%,72%,70%,94%,68%,80%
Field_D,13.7,26.27,54.69,11219,81%,10.08,22.59,38.19,85%,78%,75%,92%,100%,76%,98%,93%,81%,75%,100%,77%,70%,84%,77%,66%,90%,68%,66%,63%,81%,82%,93%
Field_D,27.75,31.47,40.98,47924,93%,17.25,18.43,35.81,70%,63%,66%,82%,70%,94%,61%,98%,93%,97%,78%,83%,80%,91%,97%,84%,95%,68%,99%,88%,86%,62%,86%
Field_A,21.24,29.93,31.82,27918,65%,43.37,24.65,20.76,65%,61%,60%,80%,66%,85%,81%,69%,64%,73%,75%,67%,70%,96%,83%,63%,73%,99%,98%,100%,62%,79%,91%
Field_E,36.35,32.33,68.71,69266,77%,26.39,8.77,14.87,84%,87%,79%,74%,69%,84%,60%,100%,73%,68%,83%,93%,63%,90%,72%,79%,75%,86%,72%,100%,90%,73%,67%
Field_D,29.82,32.33,64.06,13617,100%,28.95,19.09,19.31,100%,92%,85%,95%,89%,82%,97%,96%,85%,76%,73%,64%,62%,82%,64%,85%,78%,90%,98%,100%,99%,91%,94%
